Albi comune,Albi comune.1
,
Albi – Veduta,Albi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Salvatore Dardano (lista civica ""Solidarietà e Progresso per Albi"") dal 9-6-2024"
Territorio,Territorio
Coordinate,39°01′N 16°36′E
Altitudine,778 m s.l.m.
Superficie,"29,64 km²"
Abitanti,742[1] (30-11-2025)
Densità,"25,03 ab./km²"
Frazioni,"Buturo, San Giovanni"
Comuni confinanti,"Fossato Serralta, Magisano, Sorbo San Basile, Pentone, Sellia, Taverna, Zagarise"
Altre informazioni,Altre informazioni
Cod. postale,88055
Prefisso,0961
Fuso orario,UTC+1
Codice ISTAT,079002
Cod. catastale,A155
Targa,CZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 319 GG[3]"
Nome abitanti,albesi
Patrono,san Nicola da Tolentino
Giorno festivo,10 settembre
Cartografia,Cartografia
Albi,Albi
Albi – MappaPosizione del comune di Albi all'interno della provincia di Catanzaro,Albi – MappaPosizione del comune di Albi all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
