Gasperina comune,Gasperina comune.1
,
Gasperina – Veduta,Gasperina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,Gregorio Gallello (Insieme per Gasperina) dal 10-6-2018
Territorio,Territorio
Coordinate,38°44′29.07″N 16°30′07.68″E
Altitudine,489 m s.l.m.
Superficie,"6,78 km²"
Abitanti,1 871[1] (30-11-2025)
Densità,"275,96 ab./km²"
Frazioni,"Aurunci, Buccetta, Melitì, Montagnola, Pilinga, Zilleria"
Comuni confinanti,"Montauro, Montepaone, Palermiti"
Altre informazioni,Altre informazioni
Cod. postale,88060
Prefisso,0967
Fuso orario,UTC+1
Codice ISTAT,079056
Cod. catastale,D932
Targa,CZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 687 GG[3]"
Nome abitanti,Gasperinesi
Patrono,sant'Innocenzo diacono martire
Giorno festivo,6 agosto
Cartografia,Cartografia
Gasperina,Gasperina
Gasperina – MappaPosizione del comune di Gasperina all'interno della provincia di Catanzaro,Gasperina – MappaPosizione del comune di Gasperina all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
