Zagarise comune,Zagarise comune.1
,
Zagarise – Veduta,Zagarise – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Domenico Gallelli (lista civica ""Continuiamo a Crescere Insieme"") dal 26-5-2014"
Territorio,Territorio
Coordinate,39°00′N 16°40′E
Altitudine,581 m s.l.m.
Superficie,"49,33 km²"
Abitanti,1 315[1] (30-11-2025)
Densità,"26,66 ab./km²"
Frazioni,"Mandile, Tirivolo, Carrozzino"
Comuni confinanti,"Albi, Magisano, Mesoraca (KR), Petronà, Sellia, Sellia Marina, Sersale, Soveria Simeri, Taverna"
Altre informazioni,Altre informazioni
Cod. postale,88050
Prefisso,0961
Fuso orario,UTC+1
Codice ISTAT,079157
Cod. catastale,M140
Targa,CZ
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,zagaritani
Patrono,san Pancrazio vescovo
Giorno festivo,9 luglio
Cartografia,Cartografia
Zagarise,Zagarise
Zagarise – MappaPosizione del comune di Zagarise all'interno della provincia di Catanzaro,Zagarise – MappaPosizione del comune di Zagarise all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
