Marcellinara comune,Marcellinara comune.1
,
Marcellinara – Veduta,Marcellinara – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Vittorio Scerbo (lista civica ""Marcellinara Progetto Futuro"") dal 25-5-2014"
Territorio,Territorio
Coordinate,38°56′N 16°30′E
Altitudine,337 m s.l.m.
Superficie,"20,91 km²"
Abitanti,2 157[1] (30-11-2025)
Densità,"103,16 ab./km²"
Comuni confinanti,"Amato, Caraffa di Catanzaro, Maida, Miglierina, Pianopoli, Settingiano, Tiriolo"
Altre informazioni,Altre informazioni
Cod. postale,88044
Prefisso,0961
Fuso orario,UTC+1
Codice ISTAT,079072
Cod. catastale,E925
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 363 GG[3]"
Nome abitanti,marcellinaresi
Patrono,san Francesco da Paola
Giorno festivo,seconda domenica di agosto
Cartografia,Cartografia
Marcellinara,Marcellinara
Marcellinara – MappaPosizione del comune di Marcellinara all'interno della provincia di Catanzaro,Marcellinara – MappaPosizione del comune di Marcellinara all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
