Cerva comune,Cerva comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,Commissario Prefettizio (Neutrale) dal 07-05-2024
Territorio,Territorio
Coordinate,39°01′N 16°45′E
Altitudine,800 m s.l.m.
Superficie,"21,37 km²"
Abitanti,1 017[1] (30-11-2025)
Densità,"47,59 ab./km²"
Comuni confinanti,"Andali, Belcastro, Cropani, Petronà, Sersale"
Altre informazioni,Altre informazioni
Cod. postale,88050
Prefisso,0961
Fuso orario,UTC+1
Codice ISTAT,079027
Cod. catastale,C542
Targa,CZ
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,cervesi
Patrono,Immacolata Concezione
Giorno festivo,8 settembre
Cartografia,Cartografia
Cerva,Cerva
Cerva – MappaPosizione del comune di Cerva all'interno della provincia di Catanzaro,Cerva – MappaPosizione del comune di Cerva all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
