Montauro comune,Montauro comune.1
,
Montauro – VedutaPanorama di Montauro (agosto 2020),Montauro – VedutaPanorama di Montauro (agosto 2020)
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,Francesco Giacobbe (commissario prefettizio) dall'11-6-2025
Territorio,Territorio
Coordinate,38°45′N 16°31′E
Altitudine,393 m s.l.m.
Superficie,"11,74 km²"
Abitanti,1 927[1] (30-11-2025)
Densità,"164,14 ab./km²"
Frazioni,"Basile, Montauro Scalo, Scundo"
Comuni confinanti,"Gasperina, Montepaone, Palermiti, Squillace, Stalettì"
Altre informazioni,Altre informazioni
Cod. postale,88060
Prefisso,0967
Fuso orario,UTC+1
Codice ISTAT,079080
Cod. catastale,F432
Targa,CZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 485 GG[3]"
Nome abitanti,montauresi
Patrono,san Pantaleone
Giorno festivo,"27 luglio, 5 febbraio"
Cartografia,Cartografia
Montauro,Montauro
Montauro – MappaPosizione del comune di Montauro all'interno della provincia di Catanzaro,Montauro – MappaPosizione del comune di Montauro all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
