Settingiano comune,Settingiano comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,Antonello Formica (lista civica Insieme per Settingiano) dal 12-6-2022
Territorio,Territorio
Coordinate,38°55′N 16°31′E
Altitudine,270 m s.l.m.
Superficie,"14,35 km²"
Abitanti,3 297[1] (30-11-2025)
Densità,"229,76 ab./km²"
Frazioni,Martelletto
Comuni confinanti,"Caraffa di Catanzaro, Catanzaro, Marcellinara, Tiriolo"
Altre informazioni,Altre informazioni
Cod. postale,88040
Prefisso,0961
Fuso orario,UTC+1
Codice ISTAT,079131
Cod. catastale,I704
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,settingianesi
Patrono,san Martino
Giorno festivo,11 novembre
Cartografia,Cartografia
Settingiano,Settingiano
Settingiano – MappaPosizione del comune di Settingiano all'interno della provincia di Catanzaro,Settingiano – MappaPosizione del comune di Settingiano all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
