Lamezia Terme comune,Lamezia Terme comune.1
,
Lamezia Terme – VedutaScorcio di Lamezia dalla collina del Soccorso,Lamezia Terme – VedutaScorcio di Lamezia dalla collina del Soccorso
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,Mario Murone (Indipendente di Centro-destra) dal 12-06-2025
Data di istituzione,4 gennaio 1968
Territorio,Territorio
Coordinate,38°58′N 16°18′E
Altitudine,216 m s.l.m.
Superficie,"162,43 km²"
Abitanti,67 050[1] (30-11-2025)
Densità,"412,79 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Conflenti, Curinga, Falerna, Feroleto Antico, Gizzeria, Maida, Martirano Lombardo, Nocera Terinese, Platania, San Pietro a Maida, Serrastretta"
Altre informazioni,Altre informazioni
Cod. postale,88046
Prefisso,0968
Fuso orario,UTC+1
Codice ISTAT,079160
Cod. catastale,M208
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 199 GG[3]"
Nome abitanti,lametini
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Motto,(LA) Vis Unita Fortior
Cartografia,Cartografia
Lamezia Terme,Lamezia Terme
Lamezia Terme – MappaPosizione del comune di Lamezia Terme all'interno della provincia di Catanzaro,Lamezia Terme – MappaPosizione del comune di Lamezia Terme all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
