Simeri Crichi comune,Simeri Crichi comune.1
,
Simeri Crichi – VedutaMunicipio,Simeri Crichi – VedutaMunicipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,Davide Zicchinella (lista civica Cambiamo Simeri Crichi) dal 23-10-2023
Territorio,Territorio
Coordinate,38°57′N 16°39′E
Altitudine,465 m s.l.m.
Superficie,"46,74 km²"
Abitanti,4 694[1] (30-11-2025)
Densità,"100,43 ab./km²"
Frazioni,"Simeri, Homomorto, Marincoli, Porto d'Orra, Roccani, Apostolello, Simeri Mare"
Comuni confinanti,"Catanzaro, Sellia, Sellia Marina, Soveria Simeri"
Altre informazioni,Altre informazioni
Cod. postale,88050
Prefisso,0961
Fuso orario,UTC+1
Codice ISTAT,079133
Cod. catastale,I745
Targa,CZ
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,Cricari/Simmaroti
Patrono,"san Nicola di Bari, san Sebastiano, Madonna Addolorata della ""Cona"""
Giorno festivo,3ª domenica di settembre
Cartografia,Cartografia
Simeri Crichi,Simeri Crichi
Simeri Crichi – MappaPosizione del comune di Simeri Crichi all'interno della provincia di Catanzaro,Simeri Crichi – MappaPosizione del comune di Simeri Crichi all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
