Petrizzi comune,Petrizzi comune.1
,
Petrizzi – Veduta,Petrizzi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,Giulio Santopolo (PRC) dal 12-6-2022
Territorio,Territorio
Coordinate,38°42′N 16°28′E
Altitudine,391 m s.l.m.
Superficie,"21,5 km²"
Abitanti,984[1] (30-11-2025)
Densità,"45,77 ab./km²"
Frazioni,"Campo Farnia, La Pietà, Santa Teresa"
Comuni confinanti,"Argusto, Centrache, Chiaravalle Centrale, Gagliato, Montepaone, Olivadi, San Vito sullo Ionio, Satriano, Soverato"
Altre informazioni,Altre informazioni
Cod. postale,88060
Prefisso,0967
Fuso orario,UTC+1
Codice ISTAT,079094
Cod. catastale,G517
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 481 GG[3]"
Nome abitanti,petrizzesi
Patrono,sant'Antonio di Padova
Giorno festivo,13 giugno
Cartografia,Cartografia
Petrizzi,Petrizzi
Petrizzi – MappaPosizione del comune di Petrizzi all'interno della provincia di Catanzaro,Petrizzi – MappaPosizione del comune di Petrizzi all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
