Borgia comune,Borgia comune.1
,
Borgia – VedutaPiazza della chiesa,Borgia – VedutaPiazza della chiesa
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Elisabeth Sacco (lista civica ""U & C Unità e Coerenza"") dal 5-10-2021"
Territorio,Territorio
Coordinate,38°49′34.28″N 16°30′31.68″E
Altitudine,341 m s.l.m.
Superficie,"42,38 km²"
Abitanti,7 178[1] (30-11-2025)
Densità,"169,37 ab./km²"
Frazioni,"Donnantona, Roccelletta, Vallo"
Comuni confinanti,"Catanzaro, Girifalco, San Floro, Squillace."
Altre informazioni,Altre informazioni
Cod. postale,88021
Prefisso,0961
Fuso orario,UTC+1
Codice ISTAT,079011
Cod. catastale,B002
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 372 GG[3]"
Nome abitanti,borgesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Borgia,Borgia
Borgia – MappaPosizione del comune di Borgia all'interno della provincia di Catanzaro,Borgia – MappaPosizione del comune di Borgia all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
