Platania comune,Platania comune.1
,
Platania – Veduta,Platania – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Davide Esposito (lista civica ""Primavera Platania"") dal 13-6-2022"
Territorio,Territorio
Coordinate,39°00′N 16°19′E
Altitudine,750 m s.l.m.
Superficie,"26,84 km²"
Abitanti,1 961[1] (30-11-2025)
Densità,"73,06 ab./km²"
Comuni confinanti,"Conflenti, Decollatura, Lamezia Terme, Serrastretta"
Altre informazioni,Altre informazioni
Cod. postale,88040
Prefisso,0968
Fuso orario,UTC+1
Codice ISTAT,079099
Cod. catastale,G734
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,platanesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
Cartografia,Cartografia
Platania,Platania
Platania – MappaPosizione del comune di Platania all'interno della provincia di Catanzaro,Platania – MappaPosizione del comune di Platania all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
