Stalettì comune,Stalettì comune.1
,
Stalettì – Veduta,Stalettì – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Mario Gentile (lista civica ""Stalettì Futura "") dal 15-5-2023"
Territorio,Territorio
Coordinate,38°45′51.41″N 16°32′21.55″E
Altitudine,382 m s.l.m.
Superficie,"12,11 km²"
Abitanti,2 401[1] (30-11-2025)
Densità,"198,27 ab./km²"
Frazioni,"Caminia, Copanello, Pietragrande, Santa Maria del Mare, Torrazzo"
Comuni confinanti,"Montauro, Squillace"
Altre informazioni,Altre informazioni
Cod. postale,88071
Prefisso,0961
Fuso orario,UTC+1
Codice ISTAT,079143
Cod. catastale,I937
Targa,CZ
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,stalettisani/stalettesi
Patrono,san Gregorio Taumaturgo
Giorno festivo,17 novembre 13 maggio
Cartografia,Cartografia
Stalettì,Stalettì
Stalettì – MappaPosizione del comune di Stalettì all'interno della provincia di Catanzaro,Stalettì – MappaPosizione del comune di Stalettì all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
