Andali comune,Andali comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Pietro Antonio Peta (lista civica ""Andali Bene Comune"") dal 31-5-2015 (2º mandato dal 21-9-2020)"
Data di istituzione,1811
Territorio,Territorio
Coordinate,39°01′N 16°46′E
Altitudine,650 m s.l.m.
Superficie,"17,87 km²"
Abitanti,582[1] (30-11-2025)
Densità,"32,57 ab./km²"
Comuni confinanti,"Belcastro, Botricello, Cerva, Cropani"
Altre informazioni,Altre informazioni
Cod. postale,88050
Prefisso,0961
Fuso orario,UTC+1
Codice ISTAT,079005
Cod. catastale,A272
Targa,CZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 132 GG[3]"
Nome abitanti,Andalesi (in arbëreshë andallianë)
Patrono,Madonna del Rosario (in arbëreshë Shën Mëri e Rruzarit)
Giorno festivo,7 ottobre
Cartografia,Cartografia
Andali,Andali
Andali – MappaPosizione del comune di Andali all'interno della provincia di Catanzaro,Andali – MappaPosizione del comune di Andali all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
