Sellia comune,Sellia comune.1
,
Sellia – Veduta,Sellia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Serafina Giordano (lista civica ""Sellia Obiettivo Comune"") dal 10-6-2024"
Territorio,Territorio
Coordinate,38°59′N 16°38′E
Altitudine,560 m s.l.m.
Superficie,"12,81 km²"
Abitanti,452[1] (30-11-2025)
Densità,"35,28 ab./km²"
Comuni confinanti,"Albi, Catanzaro, Magisano, Pentone, Simeri Crichi, Soveria Simeri, Zagarise"
Altre informazioni,Altre informazioni
Cod. postale,88050
Prefisso,0961
Fuso orario,UTC+1
Codice ISTAT,079126
Cod. catastale,I589
Targa,CZ
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,selliesi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Sellia,Sellia
Sellia – MappaPosizione del comune di Sellia all'interno della provincia di Catanzaro,Sellia – MappaPosizione del comune di Sellia all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
