Olivadi comune,Olivadi comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Nicola Malta (lista civica ""Impegno Comune Olivadi"") dal 12-6-2022"
Territorio,Territorio
Coordinate,38°44′N 16°25′E
Altitudine,485 m s.l.m.
Superficie,"7,17 km²"
Abitanti,482[1] (30-11-2025)
Densità,"67,22 ab./km²"
Comuni confinanti,"Cenadi, Centrache, Petrizzi, San Vito sullo Ionio, Vallefiorita"
Altre informazioni,Altre informazioni
Cod. postale,88067
Prefisso,0967
Fuso orario,UTC+1
Codice ISTAT,079088
Cod. catastale,G034
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 678 GG[3]"
Nome abitanti,olivadesi
Patrono,sant'Elia
Giorno festivo,20 luglio
Cartografia,Cartografia
Olivadi,Olivadi
Olivadi – MappaPosizione del comune di Olivadi all'interno della provincia di Catanzaro,Olivadi – MappaPosizione del comune di Olivadi all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
