Torre di Ruggiero comune,Torre di Ruggiero comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Vito Bruno Roti (lista civica ""Per Torre"") dal 4-10-2021"
Territorio,Territorio
Coordinate,38°38′N 16°22′E
Altitudine,566 m s.l.m.
Superficie,"25,37 km²"
Abitanti,933[1] (30-11-2025)
Densità,"36,78 ab./km²"
Frazioni,"Case Incenzo, Logge"
Comuni confinanti,"Capistrano (VV), Cardinale, Chiaravalle Centrale, San Nicola da Crissa (VV), Simbario (VV), Vallelonga (VV)"
Altre informazioni,Altre informazioni
Cod. postale,88060
Prefisso,0967
Fuso orario,UTC+1
Codice ISTAT,079148
Cod. catastale,L240
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,torresi
Patrono,santa Domenica
Giorno festivo,6 luglio
Cartografia,Cartografia
Torre di Ruggiero,Torre di Ruggiero
Torre di Ruggiero – MappaPosizione del comune di Torre di Ruggiero all'interno della provincia di Catanzaro,Torre di Ruggiero – MappaPosizione del comune di Torre di Ruggiero all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
