Pentone comune,Pentone comune.1
,
Pentone – VedutaSantuario Madonna di Termine,Pentone – VedutaSantuario Madonna di Termine
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,Vincenzo Marino (lista civica Rinascita per Pentone) dal 26-5-2019
Territorio,Territorio
Coordinate,38°59′N 16°35′E
Altitudine,648 m s.l.m.
Superficie,"12,38 km²"
Abitanti,1 792[1] (30-11-2025)
Densità,"144,75 ab./km²"
Frazioni,"Sant'Elia, Visconte"
Comuni confinanti,"Albi, Catanzaro, Fossato Serralta, Gimigliano, Sellia"
Altre informazioni,Altre informazioni
Cod. postale,88050
Prefisso,0961
Fuso orario,UTC+1
Codice ISTAT,079092
Cod. catastale,G439
Targa,CZ
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,pentonesi
Patrono,san Nicola di Bari
Cartografia,Cartografia
Pentone,Pentone
Pentone – MappaPosizione del comune di Pentone all'interno della provincia di Catanzaro,Pentone – MappaPosizione del comune di Pentone all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
