Serrastretta comune,Serrastretta comune.1
,
Serrastretta – VedutaPanorama di Serrastretta,Serrastretta – VedutaPanorama di Serrastretta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,Antonio Muraca (lista civica Continuiamo a creare bene comune) dal 4-10-2021
Territorio,Territorio
Coordinate,38°58′15.25″N 16°24′06.22″E
Altitudine,840 m s.l.m.
Superficie,"41,65 km²"
Abitanti,2 875[1] (30-11-2025)
Densità,"69,03 ab./km²"
Frazioni,"Accaria, Angoli, Belvedere, Catena, Crichi Soprano, Cancello, Forestella, Mancini, Migliuso, Nocelle, Palmatico, Polidonti, Salice, Scarpelli, Serre, San Michele, Sovereto, Viterale, Quinzi"
Comuni confinanti,"Amato, Decollatura, Feroleto Antico, Lamezia Terme, Miglierina, Pianopoli, Platania, San Pietro Apostolo"
Altre informazioni,Altre informazioni
Cod. postale,88040
Prefisso,0968
Fuso orario,UTC+1
Codice ISTAT,079129
Cod. catastale,I655
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 513 GG[3]"
Nome abitanti,serrastrettesi
Patrono,san Gaetano
Giorno festivo,7 agosto
Cartografia,Cartografia
Serrastretta,Serrastretta
Serrastretta – MappaPosizione del comune di Serrastretta all'interno della provincia di Catanzaro,Serrastretta – MappaPosizione del comune di Serrastretta all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
