Petronà comune,Petronà comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,Dario Bolotta (liste civiche Nuova Era Petronese) dal 26-5-2025
Territorio,Territorio
Coordinate,39°04′19.27″N 16°44′21.29″E
Altitudine,889 m s.l.m.
Superficie,"45,79 km²"
Abitanti,2 314[1] (30-11-2025)
Densità,"50,54 ab./km²"
Frazioni,Arietta
Comuni confinanti,"Belcastro, Cerva, Marcedusa, Mesoraca (KR), Sersale, Zagarise"
Altre informazioni,Altre informazioni
Cod. postale,88050
Prefisso,0961
Fuso orario,UTC+1
Codice ISTAT,079095
Cod. catastale,G518
Targa,CZ
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,petronesi
Patrono,santi Pietro e Paolo
Cartografia,Cartografia
Petronà,Petronà
Petronà – MappaPosizione del comune di Petronà all'interno della provincia di Catanzaro,Petronà – MappaPosizione del comune di Petronà all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
