Chiaravalle Centrale comune,Chiaravalle Centrale comune.1
,
Chiaravalle Centrale – Veduta,Chiaravalle Centrale – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Domenico Savio Donato (lista civica ""Ripensiamo Chiaravalle"") dal 4-10-2021"
Territorio,Territorio
Coordinate,38°41′N 16°24′E
Altitudine,545 m s.l.m.
Superficie,"23,83 km²"
Abitanti,5 071[1] (30-11-2025)
Densità,"212,8 ab./km²"
Frazioni,"Acquamammone, Case Incenso, Clemenze, Difesa, Fraguso, Gatto, Pellegrino, Pirivoglia, Serra Rizzo, San Pietro, Furna, Madonna, Liarda, Clemenza"
Comuni confinanti,"Argusto, Capistrano (VV), Cardinale, Petrizzi, San Vito sullo Ionio, Torre di Ruggiero"
Altre informazioni,Altre informazioni
Cod. postale,88064
Prefisso,0967
Fuso orario,UTC+1
Codice ISTAT,079029
Cod. catastale,C616
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 804 GG[3]"
Nome abitanti,chiaravallesi
Patrono,san Biagio e Santa Maria della Pietra (protettrice della città)
Giorno festivo,"Il 3 febbraio si festeggia san Biagio. Il penultimo week end del mese di agosto si svolgono i festeggiamenti in onore della Madonna alla Pietra che durano 4 giorni, dal venerdì al lunedì."
Cartografia,Cartografia
Chiaravalle Centrale,Chiaravalle Centrale
Chiaravalle Centrale – MappaPosizione del comune di Chiaravalle Centrale all'interno della provincia di Catanzaro,Chiaravalle Centrale – MappaPosizione del comune di Chiaravalle Centrale all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
