Badolato comune,Badolato comune.1
,
Badolato – VedutaPanorama di Badolato superiore,Badolato – VedutaPanorama di Badolato superiore
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Costanza Pino, Alessandro Mellace, Berardino Nuovo (commissione straordinaria) dal 23-4-2025"
Territorio,Territorio
Coordinate,38°34′N 16°32′E
Altitudine,240 m s.l.m.
Superficie,"37,07 km²"
Abitanti,2 828[1] (30-11-2025)
Densità,"76,29 ab./km²"
Comuni confinanti,"Brognaturo (VV), Isca sullo Ionio, San Sostene, Santa Caterina dello Ionio"
Altre informazioni,Altre informazioni
Cod. postale,88060
Prefisso,0967
Fuso orario,UTC+1
Codice ISTAT,079008
Cod. catastale,A542
Targa,CZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 253 GG[3]"
Nome abitanti,Badolatesi
Patrono,sant'Andrea Avellino
Giorno festivo,10 novembre
Cartografia,Cartografia
Badolato,Badolato
Badolato – MappaPosizione del comune di Badolato all'interno della provincia di Catanzaro,Badolato – MappaPosizione del comune di Badolato all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
