Jacurso comune,Jacurso comune.1
,
Jacurso – Veduta,Jacurso – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,Pietro Serratore (lista civica Amare Jacurso) dal 26-05-2025
Territorio,Territorio
Coordinate,38°51′N 16°23′E
Altitudine,441 m s.l.m.
Superficie,21 km²
Abitanti,515[1] (30-11-2025)
Densità,"24,52 ab./km²"
Comuni confinanti,"Cortale, Curinga, Filadelfia (VV), Maida, Polia (VV), San Pietro a Maida"
Altre informazioni,Altre informazioni
Cod. postale,88020
Prefisso,0968
Fuso orario,UTC+1
Codice ISTAT,079065
Cod. catastale,E274
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 680 GG[3]"
Nome abitanti,jacursesi (in calabrese jicurzàni)
Patrono,San Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Jacurso,Jacurso
Jacurso – MappaPosizione del comune di Jacurso all'interno della provincia di Catanzaro,Jacurso – MappaPosizione del comune di Jacurso all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
