Decollatura comune,Decollatura comune.1
,
Decollatura – Veduta,Decollatura – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,Raffaella Perri (lista civica Cambia Decollatura) dal 5-10-2021
Data di istituzione,29 aprile 1802
Territorio,Territorio
Coordinate,39°03′N 16°21′E
Altitudine,765 m s.l.m.
Superficie,"50,35 km²"
Abitanti,2 815[1] (30-11-2025)
Densità,"55,91 ab./km²"
Frazioni,Adami
Comuni confinanti,"Conflenti, Gimigliano, Motta Santa Lucia, Pedivigliano (CS), Platania, San Pietro Apostolo, Serrastretta, Soveria Mannelli"
Altre informazioni,Altre informazioni
Cod. postale,88041
Prefisso,0968
Fuso orario,UTC+1
Codice ISTAT,079043
Cod. catastale,D261
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 370 GG[3]"
Nome abitanti,decollaturesi
Patrono,Maria SS. Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Decollatura,Decollatura
Decollatura – MappaPosizione del comune di Decollatura all'interno della provincia di Catanzaro,Decollatura – MappaPosizione del comune di Decollatura all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
