Maida comune,Maida comune.1
,
Maida – VedutaArco di Sant'Antonio,Maida – VedutaArco di Sant'Antonio
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Salvatore Paone (lista civica ""Libertà è Partecipazione"") dal 27-05-2025"
Territorio,Territorio
Coordinate,38°51′N 16°22′E
Altitudine,299 m s.l.m.
Superficie,"58,34 km²"
Abitanti,4 470[1] (30-11-2025)
Densità,"76,62 ab./km²"
Frazioni,Vena di Maida
Comuni confinanti,"Caraffa di Catanzaro, Cortale, Feroleto Antico, Jacurso, Lamezia Terme, Marcellinara, Pianopoli, San Floro, San Pietro a Maida"
Altre informazioni,Altre informazioni
Cod. postale,88025
Prefisso,0968
Fuso orario,UTC+1
Codice ISTAT,079069
Cod. catastale,E834
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 323 GG[3]"
Nome abitanti,Maidesi
Patrono,san Francesco di Paola
Giorno festivo,2 aprile - terza domenica di luglio
Cartografia,Cartografia
Maida,Maida
Maida – MappaPosizione del comune di Maida all'interno della provincia di Catanzaro,Maida – MappaPosizione del comune di Maida all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
