Soverìa Mannelli comune,Soverìa Mannelli comune.1
,
Soverìa Mannelli – Veduta,Soverìa Mannelli – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Michele Chiodo (lista civica ""Uniti per Soveria"") dal 4-10-2021"
Data di istituzione,19 gennaio 1807
Territorio,Territorio
Coordinate,39°05′N 16°22′E
Altitudine,774 m s.l.m.
Superficie,"20,5 km²"
Abitanti,2 735[1] (30-11-2025)
Densità,"133,41 ab./km²"
Frazioni,"Colla, Pirillo, San Tommaso, Celifetto, Santa Margherita"
Comuni confinanti,"Bianchi (CS), Carlopoli, Colosimi (CS), Decollatura, Gimigliano, Pedivigliano (CS)"
Altre informazioni,Altre informazioni
Cod. postale,88049
Prefisso,0968
Fuso orario,UTC+1
Codice ISTAT,079138
Cod. catastale,I874
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,soveritani
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Soverìa Mannelli,Soverìa Mannelli
Soverìa Mannelli – MappaPosizione del comune di Soveria Mannelli all'interno della provincia di Catanzaro,Soverìa Mannelli – MappaPosizione del comune di Soveria Mannelli all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
