Satriano comune,Satriano comune.1
,
Satriano – Veduta,Satriano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Massimiliano Chiaravalloti (lista civica ""L'Altra Satriano"") dal 21-9-2020"
Territorio,Territorio
Coordinate,38°40′N 16°28′E
Altitudine,293 m s.l.m.
Superficie,"21,16 km²"
Abitanti,3 388[1] (30-11-2025)
Densità,"160,11 ab./km²"
Comuni confinanti,"Cardinale, Davoli, Gagliato, Petrizzi, San Sostene, Soverato"
Altre informazioni,Altre informazioni
Cod. postale,88060
Prefisso,0967
Fuso orario,UTC+1
Codice ISTAT,079123
Cod. catastale,I463
Targa,CZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 275 GG[3]"
Nome abitanti,satrianesi
Patrono,san Teodoro
Giorno festivo,9 novembre
Cartografia,Cartografia
Satriano,Satriano
Satriano – MappaPosizione del comune di Satriano all'interno della provincia di Catanzaro,Satriano – MappaPosizione del comune di Satriano all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
