San Sostene comune,San Sostene comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Luigi Aloisio (lista civica ""Insieme per S. Sostene"") dal 5-6-2016 (2º mandato dal 4-10-2021)"
Territorio,Territorio
Coordinate,38°38′N 16°29′E
Altitudine,470 m s.l.m.
Superficie,"32,49 km²"
Abitanti,1 404[1] (30-11-2025)
Densità,"43,21 ab./km²"
Comuni confinanti,"Cardinale, Davoli, Isca sullo Ionio, Sant'Andrea Apostolo dello Ionio, Badolato, Satriano, Brognaturo (VV)"
Altre informazioni,Altre informazioni
Cod. postale,88060
Prefisso,0967
Fuso orario,UTC+1
Codice ISTAT,079116
Cod. catastale,I164
Targa,CZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 647 GG[3]"
Nome abitanti,sansostenesi
Patrono,san Sostene di Calcedonia
Giorno festivo,10 settembre
Cartografia,Cartografia
San Sostene,San Sostene
San Sostene – MappaPosizione del comune di San Sostene all'interno della provincia di Catanzaro,San Sostene – MappaPosizione del comune di San Sostene all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
