Cardinale comune,Cardinale comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,Danilo Staglianò (lista civica Io partecipo) dal 10-6-2018 (2º mandato dal 15-5-2023)
Territorio,Territorio
Coordinate,38°39′N 16°23′E
Altitudine,562 m s.l.m.
Superficie,"31,19[1] km²"
Abitanti,1 711[2] (30-11-2025)
Densità,"54,86 ab./km²"
Frazioni,"Novalba, Cuccumella, Razzona, Galiano, (vedi elenco completo)"
Comuni confinanti,"Argusto, Brognaturo (VV), Chiaravalle Centrale, Davoli, Gagliato, San Sostene, Satriano, Simbario (VV), Torre di Ruggiero"
Altre informazioni,Altre informazioni
Cod. postale,88062
Prefisso,0967
Fuso orario,UTC+1
Codice ISTAT,079018
Cod. catastale,B758
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[3]
Cl. climatica,"zona D, 1 840 GG[4]"
Nome abitanti,cardinalesi[1]
Patrono,San Nicola di Bari
Giorno festivo,6 dicembre e ultima domenica di maggio[1]
Cartografia,Cartografia
Cardinale,Cardinale
Cardinale – MappaPosizione del comune di Cardinale all'interno della provincia di Catanzaro,Cardinale – MappaPosizione del comune di Cardinale all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
