Fossato Serralta comune,Fossato Serralta comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Domenico Raffaele (lista civica ""Continuiamo per il bene comune"") dal 25-5-2014"
Territorio,Territorio
Coordinate,39°00′N 16°35′E
Altitudine,722 m s.l.m.
Superficie,"11,85 km²"
Abitanti,528[1] (30-11-2025)
Densità,"44,56 ab./km²"
Frazioni,"Maranise, Canne, Savuci"
Comuni confinanti,"Albi, Cicala, Gimigliano, Pentone, Sorbo San Basile, Taverna"
Altre informazioni,Altre informazioni
Cod. postale,88050
Prefisso,0961
Fuso orario,UTC+1
Codice ISTAT,079052
Cod. catastale,D744
Targa,CZ
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,fossatesi
Patrono,san Francesco da Paola
Giorno festivo,prima domenica di agosto
Cartografia,Cartografia
Fossato Serralta,Fossato Serralta
Fossato Serralta – MappaPosizione del comune di Fossato Serralta all'interno della provincia di Catanzaro,Fossato Serralta – MappaPosizione del comune di Fossato Serralta all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
