Martirano comune,Martirano comune.1
,
Martirano – Veduta,Martirano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,Francesco Bartolotta (lista civica Per Martirano con la Gente per la Gente) dal 16-5-2011 (3º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,39°05′N 16°15′E
Altitudine,381 m s.l.m.
Superficie,"14,9 km²"
Abitanti,786[1] (30-11-2025)
Densità,"52,75 ab./km²"
Frazioni,"Muraglie, Persico, San Fili"
Comuni confinanti,"Aiello Calabro (CS), Altilia (CS), Conflenti, Grimaldi (CS), Martirano Lombardo, Motta Santa Lucia"
Altre informazioni,Altre informazioni
Cod. postale,88040
Prefisso,0968
Fuso orario,UTC+1
Codice ISTAT,079073
Cod. catastale,E990
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 549 GG[3]"
Nome abitanti,martiranesi
Patrono,san Sebastiano
Giorno festivo,20 gennaio
Cartografia,Cartografia
Martirano,Martirano
Martirano – MappaPosizione del comune di Martirano all'interno della provincia di Catanzaro,Martirano – MappaPosizione del comune di Martirano all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
