Girifalco comune,Girifalco comune.1
,
Girifalco – VedutaPanorama su parte del centro storico,Girifalco – VedutaPanorama su parte del centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,Pietrantonio Cristofaro (lista civica) dal 21-9-2020
Territorio,Territorio
Coordinate,38°49′N 16°26′E
Altitudine,456 m s.l.m.
Superficie,"43,1 km²"
Abitanti,5 398[1] (30-11-2025)
Densità,"125,24 ab./km²"
Comuni confinanti,"Amaroni, Borgia, Cortale, San Floro, Squillace, Vallefiorita"
Altre informazioni,Altre informazioni
Cod. postale,88024
Prefisso,0968
Fuso orario,UTC+1
Codice ISTAT,079059
Cod. catastale,E050
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 676 GG[3]"
Nome abitanti,girifalcesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Girifalco,Girifalco
Girifalco – MappaPosizione del comune di Girifalco all'interno della provincia di Catanzaro,Girifalco – MappaPosizione del comune di Girifalco all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
