Davoli comune,Davoli comune.1
,
Davoli – VedutaChiesa di Santa Barbara (Davoli 2021),Davoli – VedutaChiesa di Santa Barbara (Davoli 2021)
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Giuseppe Papaleo (lista civica ""Impegno Comune per Davoli"") dal 31-5-2015 (2º mandato dal 21-9-2020)"
Territorio,Territorio
Coordinate,38°39′N 16°29′E
Altitudine,401 m s.l.m.
Superficie,"25,03 km²"
Abitanti,5 668[1] (30-11-2025)
Densità,"226,45 ab./km²"
Comuni confinanti,"Cardinale, San Sostene, Satriano"
Altre informazioni,Altre informazioni
Cod. postale,88060
Prefisso,0967
Fuso orario,UTC+1
Codice ISTAT,079042
Cod. catastale,D257
Targa,CZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 591 GG[3]"
Nome abitanti,davolesi
Patrono,"san Vittore, santa Barbara (compatrona)"
Giorno festivo,21 luglio
Cartografia,Cartografia
Davoli,Davoli
Davoli – MappaPosizione del comune di Davoli all'interno della provincia di Catanzaro,Davoli – MappaPosizione del comune di Davoli all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
