Argusto comune,Argusto comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Valter Matozzo (lista civica ""Amare Argusto"") dal 16-5-2011 (3º mandato dal 4-10-2021)"
Territorio,Territorio
Coordinate,38°41′N 16°26′E
Altitudine,530 m s.l.m.
Superficie,"6,88 km²"
Abitanti,403[1] (30-11-2025)
Densità,"58,58 ab./km²"
Frazioni,"San Pietro, Scamardi"
Comuni confinanti,"Cardinale, Chiaravalle Centrale, Gagliato, Petrizzi"
Altre informazioni,Altre informazioni
Cod. postale,88060
Prefisso,0967
Fuso orario,UTC+1
Codice ISTAT,079007
Cod. catastale,A397
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 773 GG[3]"
Nome abitanti,argustesi
Patrono,sant'Ilario di Poitiers
Giorno festivo,13 gennaio-prima domenica di settembre
Cartografia,Cartografia
Argusto,Argusto
Argusto – MappaPosizione del comune di Argusto all'interno della provincia di Catanzaro,Argusto – MappaPosizione del comune di Argusto all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
