Belcastro comune,Belcastro comune.1
,
Belcastro – Veduta,Belcastro – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Antonio Torchia (lista civica ""Per Belcastro"") dal 21-9-2020"
Territorio,Territorio
Coordinate,39°01′N 16°47′E
Altitudine,495 m s.l.m.
Superficie,"53,56 km²"
Abitanti,1 213[1] (30-11-2025)
Densità,"22,65 ab./km²"
Frazioni,"Belcastro Marina (Fieri, Condoleo e Magliacane) e Acquavona (in Presila)"
Comuni confinanti,"Andali, Botricello, Cerva, Cutro (KR), Marcedusa, Mesoraca (KR), Petronà"
Altre informazioni,Altre informazioni
Cod. postale,88050
Prefisso,0961
Fuso orario,UTC+1
Codice ISTAT,079009
Cod. catastale,A736
Targa,CZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona A, 1,700 GG[3]"
Nome abitanti,belcastresi
Patrono,San Tommaso d'Aquino
Giorno festivo,21 marzo
Cartografia,Cartografia
Belcastro,Belcastro
Belcastro – MappaPosizione del comune di Belcastro all'interno della provincia di Catanzaro,Belcastro – MappaPosizione del comune di Belcastro all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
