Pianopoli comune,Pianopoli comune.1
,
Pianopoli – Veduta,Pianopoli – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Valentina Cuda (lista civica ""Ramoscello d'Ulivo"") dal 26-5-2019 (2º mandato dal 10-6-2024)"
Territorio,Territorio
Coordinate,38°57′N 16°23′E
Altitudine,250 m s.l.m.
Superficie,"24,65 km²"
Abitanti,2 574[1] (30-11-2025)
Densità,"104,42 ab./km²"
Comuni confinanti,"Amato, Feroleto Antico, Maida, Marcellinara, Serrastretta"
Altre informazioni,Altre informazioni
Cod. postale,88040
Prefisso,0968
Fuso orario,UTC+1
Codice ISTAT,079096
Cod. catastale,D546
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona C, 1 233 GG[3]"
Nome abitanti,Pianopoletani
Patrono,san Tommaso d'Aquino (patrono) e Maria Santissima Addolorata (compatrona)
Giorno festivo,"7 marzo, quarta domenica di settembre"
Cartografia,Cartografia
Pianopoli,Pianopoli
Pianopoli – MappaPosizione del comune di Pianopoli all'interno della provincia di Catanzaro,Pianopoli – MappaPosizione del comune di Pianopoli all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
