Isca sullo Ionio comune,Isca sullo Ionio comune.1
,
Isca sullo Ionio – VedutaMuseo e conservatorio di musica popolare della Calabria a Isca sullo Ionio,Isca sullo Ionio – VedutaMuseo e conservatorio di musica popolare della Calabria a Isca sullo Ionio
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Vincenzo Mirarchi (lista civica ""Per Isca"") dal 12-6-2022"
Territorio,Territorio
Coordinate,38°36′N 16°31′E
Altitudine,188 m s.l.m.
Superficie,"23,56 km²"
Abitanti,1 487[1] (30-11-2025)
Densità,"63,12 ab./km²"
Comuni confinanti,"Badolato, San Sostene, Sant'Andrea Apostolo dello Ionio"
Altre informazioni,Altre informazioni
Cod. postale,88060
Prefisso,0967
Fuso orario,UTC+1
Codice ISTAT,079063
Cod. catastale,E328
Targa,CZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 144 GG[3]"
Nome abitanti,iscani
Patrono,San Marziale [4]
Giorno festivo,10 luglio
Cartografia,Cartografia
Isca sullo Ionio,Isca sullo Ionio
Isca sullo Ionio – MappaPosizione del comune di Isca sullo Ionio all'interno della provincia di Catanzaro,Isca sullo Ionio – MappaPosizione del comune di Isca sullo Ionio all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
