Soveria Simeri comune,Soveria Simeri comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Mario Amedeo Mormile (lista civica ""Soveria Nel Cuore"") dal 4-10-2021"
Territorio,Territorio
Coordinate,38°57′N 16°41′E
Altitudine,367 m s.l.m.
Superficie,"22,28 km²"
Abitanti,1 417[1] (30-11-2025)
Densità,"63,6 ab./km²"
Comuni confinanti,"Sellia, Sellia Marina, Simeri Crichi, Zagarise"
Altre informazioni,Altre informazioni
Cod. postale,88050
Prefisso,0961
Fuso orario,UTC+1
Codice ISTAT,079139
Cod. catastale,I875
Targa,CZ
Cl. sismica,zona 2 (sismicità media)[2]
Nome abitanti,soveritani
Patrono,san Donato (vescovo e martire)
Giorno festivo,7 agosto
Cartografia,Cartografia
Soveria Simeri,Soveria Simeri
Soveria Simeri – MappaPosizione del comune di Soveria Simeri all'interno della provincia di Catanzaro,Soveria Simeri – MappaPosizione del comune di Soveria Simeri all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
