Botricello comune,Botricello comune.1
,
Botricello – Veduta,Botricello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Saverio Simone Puccio (lista civica "" Liberi per Botricello "") dal 13-06-2022"
Data di istituzione,1957
Territorio,Territorio
Coordinate,38°56′N 16°51′E
Altitudine,19 m s.l.m.
Superficie,"15,48 km²"
Abitanti,5 012[1] (30-11-2025)
Densità,"323,77 ab./km²"
Comuni confinanti,"Andali, Belcastro, Cropani"
Altre informazioni,Altre informazioni
Cod. postale,88070
Prefisso,0961
Fuso orario,UTC+1
Codice ISTAT,079012
Cod. catastale,B085
Targa,CZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 853 GG[3]"
Nome abitanti,botricellesi
Patrono,san Francesco di Paola e Madonna di Pompei
Giorno festivo,4 maggio e 1ª domenica dopo il 15 agosto
Cartografia,Cartografia
Botricello,Botricello
Botricello – MappaPosizione del comune di Botricello all'interno della provincia di Catanzaro,Botricello – MappaPosizione del comune di Botricello all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
