Vallefiorita comune,Vallefiorita comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Salvatore Megna (lista civica ""Vallefiorita Unita"") dal 16-5-2011 (3º mandato dal 4-10-2021"
Territorio,Territorio
Coordinate,38°47′N 16°28′E
Altitudine,329 m s.l.m.
Superficie,"13,88 km²"
Abitanti,1 418[1] (30-11-2025)
Densità,"102,16 ab./km²"
Frazioni,"Piazza Vecchia, Guarna, Parmenta, Strada Nuova, Capo Cannale, Sarvo, Vadà, Soverito, Cialona, Jannetta, Azzaro, Fontana di Vena, Cierzi, Ruga de Sieggi, Redavozza, Rina, Gracìa, Orto del Signore, Strafhariu, Chiusiedi, Pezza e Lana, Bardascinu, Carvana, Raddissa"
Comuni confinanti,"Amaroni, Cenadi, Centrache, Cortale, Girifalco, Olivadi, Palermiti, Squillace"
Altre informazioni,Altre informazioni
Cod. postale,88050
Prefisso,0961
Fuso orario,UTC+1
Codice ISTAT,079151
Cod. catastale,I322
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,vallefioritesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Vallefiorita,Vallefiorita
Vallefiorita – MappaPosizione del comune di Vallefiorita all'interno della provincia di Catanzaro,Vallefiorita – MappaPosizione del comune di Vallefiorita all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
