Nocera Terinese comune,Nocera Terinese comune.1
,
Nocera Terinese – VedutaPanorama di Nocera Terinese,Nocera Terinese – VedutaPanorama di Nocera Terinese
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,Saverio Russo (Lista civica Liberi di scegliere) dal 23-10-2023
Territorio,Territorio
Coordinate,39°02′N 16°09′E
Altitudine,240 m s.l.m.
Superficie,"46,58 km²"
Abitanti,4 771[1] (30-11-2025)
Densità,"102,43 ab./km²"
Comuni confinanti,"Amantea (CS), Cleto (CS), Falerna, Lamezia Terme, Martirano Lombardo, San Mango d'Aquino"
Altre informazioni,Altre informazioni
Cod. postale,88047
Prefisso,0968
Fuso orario,UTC+1
Codice ISTAT,079087
Cod. catastale,F910
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Nome abitanti,noceresi
Patrono,san Giovanni Battista
Giorno festivo,"5 febbraio, 24 giugno, 8 settembre"
Cartografia,Cartografia
Nocera Terinese,Nocera Terinese
Nocera Terinese – MappaPosizione del comune di Nocera Terinese all'interno della provincia di Catanzaro,Nocera Terinese – MappaPosizione del comune di Nocera Terinese all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
