Motta Santa Lucia comune,Motta Santa Lucia comune.1
,
Motta Santa Lucia – Veduta,Motta Santa Lucia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Ivano Egeo (lista civica ""Motta verso il Domani"") dal 26-5-2019"
Territorio,Territorio
Coordinate,39°04′42.52″N 16°18′01.02″E
Altitudine,590 m s.l.m.
Superficie,"26,3 km²"
Abitanti,818[1] (30-11-2025)
Densità,"31,1 ab./km²"
Frazioni,"Casale, Marignano, Porchia, Salice"
Comuni confinanti,"Altilia (CS), Conflenti, Decollatura, Martirano, Pedivigliano (CS)"
Altre informazioni,Altre informazioni
Cod. postale,88040
Prefisso,0968
Fuso orario,UTC+1
Codice ISTAT,079083
Cod. catastale,F780
Targa,CZ
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 988 GG[3]"
Nome abitanti,mottesi
Patrono,santa Lucia
Giorno festivo,13 dicembre
Cartografia,Cartografia
Motta Santa Lucia,Motta Santa Lucia
Motta Santa Lucia – MappaPosizione del comune di Motta Santa Lucia all'interno della provincia di Catanzaro,Motta Santa Lucia – MappaPosizione del comune di Motta Santa Lucia all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
