Sellia Marina comune,Sellia Marina comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Calabria
Provincia,Catanzaro
Amministrazione,Amministrazione
Sindaco,"Walter Placida (lista civica ""SiAmo Sellia Marina"") dal 10-6-2024"
Data di istituzione,1956
Territorio,Territorio
Coordinate,38°55′N 16°45′E
Altitudine,82 m s.l.m.
Superficie,"41,46 km²"
Abitanti,7 786[1] (30-11-2025)
Densità,"187,8 ab./km²"
Frazioni,"Calabricata, Cardusa, Case sparse, Feudo de Seta, La Petrizia, Piano d'Agazio, Pirainetto, Ruggero, Sena, Serra, Torrazzo, Uria, Chiaro"
Comuni confinanti,"Cropani, Sersale, Simeri Crichi, Soveria Simeri, Zagarise"
Altre informazioni,Altre informazioni
Cod. postale,88050
Prefisso,0961
Fuso orario,UTC+1
Codice ISTAT,079127
Cod. catastale,I590
Targa,CZ
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 955 GG[3]"
Nome abitanti,selliesi o sellioti
Patrono,san Nicola di Bari
Giorno festivo,25 maggio
Cartografia,Cartografia
Sellia Marina,Sellia Marina
Sellia Marina – MappaPosizione del comune di Sellia Marina all'interno della provincia di Catanzaro,Sellia Marina – MappaPosizione del comune di Sellia Marina all'interno della provincia di Catanzaro
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
