Lascari comune,Lascari comune.1
,
Lascari – Veduta,Lascari – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Franco Schittino (lista civica) dal 6-10-2020
Data di istituzione,1840
Territorio,Territorio
Coordinate,38°00′N 13°56′E
Altitudine,76 m s.l.m.
Superficie,"10,33 km²"
Abitanti,3 763[1] (30-11-2025)
Densità,"364,28 ab./km²"
Comuni confinanti,"Campofelice di Roccella, Cefalù, Collesano, Gratteri"
Altre informazioni,Altre informazioni
Cod. postale,90010
Prefisso,0921
Fuso orario,UTC+1
Codice ISTAT,082044
Cod. catastale,E459
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 796 GG[3]"
Nome abitanti,lascaresi
Patrono,Santissimo Crocifisso
Giorno festivo,prima domenica di luglio
Cartografia,Cartografia
Lascari,Lascari
Lascari – MappaPosizione del comune di Lascari all'interno della città metropolitana di Palermo,Lascari – MappaPosizione del comune di Lascari all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
