Misilmeri comune,Misilmeri comune.1
,
Misilmeri – VedutaMisilmeri dalle colline circostanti,Misilmeri – VedutaMisilmeri dalle colline circostanti
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Rosario Rizzolo (lista civica) dal 7-10-2020
Data di istituzione,1812
Territorio,Territorio
Coordinate,38°02′N 13°27′E
Altitudine,129 m s.l.m.
Superficie,"69,49 km²"
Abitanti,29 207[1] (30-11-2025)
Densità,"420,31 ab./km²"
Frazioni,"Gibilrossa, Portella di Mare"
Comuni confinanti,"Bagheria, Belmonte Mezzagno, Bolognetta, Casteldaccia, Ficarazzi, Marineo, Palermo, Santa Flavia, Villabate"
Altre informazioni,Altre informazioni
Cod. postale,90036
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082048
Cod. catastale,F246
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 897 GG[3]"
Nome abitanti,misilmeresi
Patrono,san Giusto
Giorno festivo,ultima domenica di agosto
Cartografia,Cartografia
Misilmeri,Misilmeri
Misilmeri – MappaPosizione del comune di Misilmeri all'interno della città metropolitana di Palermo,Misilmeri – MappaPosizione del comune di Misilmeri all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
