Aliminusa comune,Aliminusa comune.1
,
Aliminusa – Veduta,Aliminusa – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Gabriele Crociata (commissario straordinario) dal 10-10-2025
Territorio,Territorio
Coordinate,37°51′51.98″N 13°46′53″E
Altitudine,450 m s.l.m.
Superficie,"13,68 km²"
Abitanti,1 004[1] (30-11-2025)
Densità,"73,39 ab./km²"
Comuni confinanti,"Caccamo, Cerda, Montemaggiore Belsito, Sciara, Sclafani Bagni"
Altre informazioni,Altre informazioni
Cod. postale,90020
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082003
Cod. catastale,A203
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 326 GG[3]"
Nome abitanti,Aliminusani (Larminusari e Arminusari in siciliano)
Patrono,sant'Anna
Giorno festivo,26 luglio
Cartografia,Cartografia
Aliminusa,Aliminusa
Aliminusa – MappaPosizione del comune di Aliminusa nella città metropolitana di Palermo,Aliminusa – MappaPosizione del comune di Aliminusa nella città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
