Chiusa Sclafani comune,Chiusa Sclafani comune.1
Chiusa Sclafani – VedutaVeduta di Chiusa Sclafani,Chiusa Sclafani – VedutaVeduta di Chiusa Sclafani
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Francesco Di Giorgio (FI) dall'11-6-2017
Territorio,Territorio
Coordinate,37°41′N 13°16′E
Altitudine,658 m s.l.m.
Superficie,"57,55 km²"
Abitanti,2 385[1] (30-11-2025)
Densità,"41,44 ab./km²"
Frazioni,San Carlo
Comuni confinanti,"Bisacquino, Burgio (AG), Caltabellotta (AG), Corleone, Giuliana, Palazzo Adriano"
Altre informazioni,Altre informazioni
Cod. postale,90033
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082029
Cod. catastale,C654
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 770 GG[3]"
Nome abitanti,chiusesi o chiusalini
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Chiusa Sclafani,Chiusa Sclafani
Chiusa Sclafani – MappaPosizione del comune di Chiusa Sclafani all'interno della città metropolitana di Palermo,Chiusa Sclafani – MappaPosizione del comune di Chiusa Sclafani all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
