Roccamena comune,Roccamena comune.1
,
Roccamena – VedutaVeduta,Roccamena – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Giuseppe Palmeri (FdI) dal 29-04-2019
Territorio,Territorio
Coordinate,37°50′07″N 13°09′20″E
Altitudine,480 m s.l.m.
Superficie,"33,72 km²"
Abitanti,1 287[1] (30-11-2025)
Densità,"38,17 ab./km²"
Comuni confinanti,"Bisacquino, Contessa Entellina, Corleone, Monreale"
Altre informazioni,Altre informazioni
Cod. postale,90040
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082061
Cod. catastale,H422
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 346 GG[3]"
Nome abitanti,roccamenesi
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Roccamena,Roccamena
Roccamena – MappaPosizione del comune di Roccamena all'interno della città metropolitana di Palermo,Roccamena – MappaPosizione del comune di Roccamena all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
