Contessa Entellina comune,Contessa Entellina comune.1
,
Contessa Entellina – Veduta,Contessa Entellina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Leonardo Spera (MpA) dal 10-6-2018
Territorio,Territorio
Coordinate,37°44′N 13°11′E
Altitudine,571 m s.l.m.
Superficie,"136,48 km²"
Abitanti,1 438[1] (30-11-2025)
Densità,"10,54 ab./km²"
Frazioni,"Castagnola, Cozzo Finocchio, Lago Garcia (area speciale), Piano Cavaliere, Pizzillo, Roccella, Santa Maria del Bosco (area speciale)"
Comuni confinanti,"Bisacquino, Campofiorito, Poggioreale (TP), Salaparuta (TP), Sambuca di Sicilia (AG), Santa Margherita di Belice (AG)"
Altre informazioni,Altre informazioni
Cod. postale,90030
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082033
Cod. catastale,C968
Targa,PA
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 588 GG[3]"
Nome abitanti,contessioti
Patrono,san Nicola di Mira
Giorno festivo,6 dicembre
Cartografia,Cartografia
Contessa Entellina,Contessa Entellina
Contessa Entellina – MappaPosizione del comune di Contessa Entellina nella città metropolitana di Palermo,Contessa Entellina – MappaPosizione del comune di Contessa Entellina nella città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
