Campofelice di Fitalia comune,Campofelice di Fitalia comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Pietro Aldegheri (lista Civica) dall'11-6-2017 (2º mandato dal 13-6-2022)
Data di istituzione,1 febbraio 1951
Territorio,Territorio
Coordinate,37°50′N 13°29′E
Altitudine,734 m s.l.m.
Superficie,"35,46 km²"
Abitanti,412[1] (30-11-2025)
Densità,"11,62 ab./km²"
Comuni confinanti,"Ciminna, Corleone, Mezzojuso, Prizzi, Vicari"
Altre informazioni,Altre informazioni
Cod. postale,90030
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082016
Cod. catastale,B533
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 813 GG[3]"
Nome abitanti,campofelicesi
Patrono,san Giuseppe
Giorno festivo,23 agosto
Cartografia,Cartografia
Campofelice di Fitalia,Campofelice di Fitalia
Campofelice di Fitalia – MappaPosizione del comune di Campofelice di Fitalia all'interno della città metropolitana di Palermo,Campofelice di Fitalia – MappaPosizione del comune di Campofelice di Fitalia all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
