Petralia Soprana comune,Petralia Soprana comune.1
,
Petralia Soprana – Veduta,Petralia Soprana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Pietro Macaluso (lista civica) dall'8-5-2012 (2º mandato dal 13-6-2017)
Territorio,Territorio
Coordinate,37°48′N 14°06′E
Altitudine,1 147 m s.l.m.
Superficie,"56,1 km²"
Abitanti,2 815[1] (30-11-2025)
Densità,"50,18 ab./km²"
Frazioni,"Acquamara, Borgo Aiello, Borgo Pala, Cipampini, Cozzo Bianco, Fasanò, Gioiotti, Gulini, Lodico, Lucia, Madonnuzza, Miranti, Pellizzara, Pianello, Pira, Raffo, Sabatini, Saccù, Salaci, Salinella, San Giovanni, SS. Trinità, Scarcini, Scarpella, Serra di Lio, Stretti, Verdi I, Verdi II, Villa Letizia, Vituzzi, Spinoso, Cerami, Santa Marina"
Comuni confinanti,"Alimena, Blufi, Bompietro, Gangi, Geraci Siculo, Petralia Sottana"
Altre informazioni,Altre informazioni
Cod. postale,90026
Prefisso,0921
Fuso orario,UTC+1
Codice ISTAT,082055
Cod. catastale,G510
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 382 GG[3]"
Nome abitanti,sopranesi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Petralia Soprana,Petralia Soprana
Petralia Soprana – MappaPosizione del comune di Petralia Soprana all'interno della città metropolitana di Palermo,Petralia Soprana – MappaPosizione del comune di Petralia Soprana all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
