Scillato comune,Scillato comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Cortina Giuliano (detto Gil) (Sviluppo e Tradizione) dal 5-10-2020
Territorio,Territorio
Coordinate,37°51′39.75″N 13°55′06.33″E
Altitudine,215 m s.l.m.
Superficie,"31,7 km²"
Abitanti,565[1] (30-11-2025)
Densità,"17,82 ab./km²"
Comuni confinanti,"Caltavuturo, Cerda, Collesano, Isnello, Polizzi Generosa, Sclafani Bagni"
Altre informazioni,Altre informazioni
Cod. postale,90020
Prefisso,0921
Fuso orario,UTC+1
Codice ISTAT,082081
Cod. catastale,I538
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 009 GG[3]"
Nome abitanti,scillatesi
Patrono,Maria SS. della Catena
Giorno festivo,20 agosto
Cartografia,Cartografia
Scillato,Scillato
Scillato – MappaPosizione del comune di Scillato all'interno della città metropolitana di Palermo,Scillato – MappaPosizione del comune di Scillato all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
