Baucina comune,Baucina comune.1
,
Baucina – Veduta,Baucina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Fortunato Basile (lista civica) dall'11-6-2018
Territorio,Territorio
Coordinate,37°56′N 13°32′E
Altitudine,550 m s.l.m.
Superficie,"24,47 km²"
Abitanti,1 837[1] (30-11-2025)
Densità,"75,07 ab./km²"
Comuni confinanti,"Bolognetta, Caccamo, Casteldaccia, Ciminna, Ventimiglia di Sicilia, Villafrati"
Altre informazioni,Altre informazioni
Cod. postale,90020
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082008
Cod. catastale,A719
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 577 GG[3]"
Nome abitanti,baucinesi
Patrono,"Santa Fortunata, San Marco"
Giorno festivo,"14 febbraio, 25 aprile"
Cartografia,Cartografia
Baucina,Baucina
Baucina – MappaPosizione del comune di Baucina all'interno della città metropolitana di Palermo,Baucina – MappaPosizione del comune di Baucina all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
