Geraci Siculo comune,Geraci Siculo comune.1
,
Geraci Siculo – Veduta,Geraci Siculo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Luigi Iuppa (lista civica Geraci bene comune - Lista civica) dall'11-6-2018 (2º mandato dal 30-5-2023)
Territorio,Territorio
Coordinate,37°52′N 14°09′E
Altitudine,1 077 m s.l.m.
Superficie,"113,35 km²"
Abitanti,1 640[1] (30-11-2025)
Densità,"14,47 ab./km²"
Comuni confinanti,"Castel di Lucio (ME), Castelbuono, Gangi, Nicosia (EN), Petralia Soprana, Petralia Sottana, San Mauro Castelverde"
Altre informazioni,Altre informazioni
Cod. postale,90010
Prefisso,0921
Fuso orario,UTC+1
Codice ISTAT,082037
Cod. catastale,D977
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 282 GG[3]"
Nome abitanti,geracesi
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Geraci Siculo,Geraci Siculo
Geraci Siculo – MappaPosizione del comune di Geraci Siculo all'interno della città metropolitana di Palermo,Geraci Siculo – MappaPosizione del comune di Geraci Siculo all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
