Torretta comune,Torretta comune.1
,
Torretta – Veduta,Torretta – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Damiano Scalici (lista civica) dal 10-11-2021
Territorio,Territorio
Coordinate,38°07′49.3″N 13°14′07.76″E
Altitudine,325 m s.l.m.
Superficie,"25,54 km²"
Abitanti,4 441[1] (30-11-2025)
Densità,"173,88 ab./km²"
Comuni confinanti,"Capaci, Carini, Isola delle Femmine, Monreale, Palermo"
Altre informazioni,Altre informazioni
Cod. postale,90040
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082072
Cod. catastale,L282
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 056 GG[3]"
Nome abitanti,torrettesi
Patrono,san Calogero
Giorno festivo,18 giugno
Cartografia,Cartografia
Torretta,Torretta
Torretta – MappaPosizione del comune di Torretta all'interno della città metropolitana di Palermo,Torretta – MappaPosizione del comune di Torretta all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
