Collesano comune,Collesano comune.1
,
Collesano – Veduta,Collesano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Tiziana Cascio (siAmo Collesano) dal 29-5-2023
Territorio,Territorio
Coordinate,37°55′N 13°56′E
Altitudine,468 m s.l.m.
Superficie,"108,17 km²"
Abitanti,3 608[1] (30-11-2025)
Densità,"33,35 ab./km²"
Comuni confinanti,"Campofelice di Roccella, Cerda, Gratteri, Isnello, Lascari, Scillato, Termini Imerese"
Altre informazioni,Altre informazioni
Cod. postale,90016
Prefisso,0921
Fuso orario,UTC+1
Codice ISTAT,082032
Cod. catastale,C871
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 379 GG[3]"
Nome abitanti,collesanesi
Patrono,Madonna dei Miracoli
Giorno festivo,26 maggio
Cartografia,Cartografia
Collesano,Collesano
Collesano – MappaPosizione del comune di Collesano nella città metropolitana di Palermo,Collesano – MappaPosizione del comune di Collesano nella città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
