San Cipirello comune,San Cipirello comune.1
,
San Cipirello – Veduta,San Cipirello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Vito Cannella (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,37°56′09.89″N 13°10′40.11″E
Altitudine,394 m s.l.m.
Superficie,"20,85 km²"
Abitanti,4 792[1] (30-11-2025)
Densità,"229,83 ab./km²"
Comuni confinanti,"Monreale, San Giuseppe Jato"
Altre informazioni,Altre informazioni
Cod. postale,90088
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082063
Cod. catastale,H797
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 203 GG[3]"
Nome abitanti,sancipirellesi
Patrono,Maria Santissima Immacolata
Giorno festivo,8 settembre
Cartografia,Cartografia
San Cipirello,San Cipirello
San Cipirello – MappaPosizione del comune di San Cipirello all'interno della città metropolitana di Palermo,San Cipirello – MappaPosizione del comune di San Cipirello all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
