Partinico comune,Partinico comune.1
,
Partinico – VedutaPanorama di Partinico,Partinico – VedutaPanorama di Partinico
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Pietro Rao (MpA) dal 13-11-2022
Territorio,Territorio
Coordinate,38°03′N 13°07′E
Altitudine,175 m s.l.m.
Superficie,"108,06 km²"
Abitanti,30 915[1] (30-11-2025)
Densità,"286,09 ab./km²"
Frazioni,"Borgo dei Parrini, Depuratore AMAP, Lago di Poma, Zona Industriale"
Comuni confinanti,"Alcamo (TP), Balestrate, Borgetto, Carini, Giardinello, Monreale, Terrasini, Trappeto"
Altre informazioni,Altre informazioni
Cod. postale,90047
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082054
Cod. catastale,G348
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 796 GG[3]"
Nome abitanti,"partinicesi (in siciliano, partinicoti, già salitani)"
Patrono,san Leonardo
Giorno festivo,6 novembre
Cartografia,Cartografia
Partinico,Partinico
Partinico – MappaPosizione del comune di Partinico all'interno della città metropolitana di Palermo,Partinico – MappaPosizione del comune di Partinico all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
