Santa Cristina Gela comune,Santa Cristina Gela comune.1
(IT) Comune di Santa Cristina Gela (AAE) Bashkia e Sëndahstinës,(IT) Comune di Santa Cristina Gela (AAE) Bashkia e Sëndahstinës
,
Santa Cristina Gela – Veduta,Santa Cristina Gela – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Giuseppe Cangialosi (Uniti per Santa Cristina Gela-Cangialosi sindaco) dal 5-10-2020
Territorio,Territorio
Coordinate,37°59′05.11″N 13°19′41.02″E
Altitudine,674 m s.l.m.
Superficie,"38,74 km²"
Abitanti,1 004[1] (30-11-2025)
Densità,"25,92 ab./km²"
Comuni confinanti,"Altofonte, Belmonte Mezzagno, Marineo, Monreale, Piana degli Albanesi"
Altre informazioni,Altre informazioni
Lingue,arbërisht (albanese)
Cod. postale,90030
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082066
Cod. catastale,I174
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 719 GG[3]"
Nome abitanti,santacristinari o arbëreshë/sëndastinarë
Patrono,santa Cristina
Giorno festivo,24 luglio
Cartografia,Cartografia
Santa Cristina Gela,Santa Cristina Gela
Santa Cristina Gela – MappaPosizione del comune di Santa Cristina Gela all'interno della città metropolitana di Palermo,Santa Cristina Gela – MappaPosizione del comune di Santa Cristina Gela all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
