Trabia comune,Trabia comune.1
,
Trabia – Veduta,Trabia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Francesco Bondì (SCN) dal 29-5-2023
Territorio,Territorio
Coordinate,38°00′N 13°39′E
Altitudine,50 m s.l.m.
Superficie,"20,57 km²"
Abitanti,10 843[1] (30-11-2025)
Densità,"527,13 ab./km²"
Frazioni,"San Nicola l'Arena, Sant'Onofrio"
Comuni confinanti,"Altavilla Milicia, Caccamo, Casteldaccia, Termini Imerese"
Altre informazioni,Altre informazioni
Cod. postale,90019
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082073
Cod. catastale,L317
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona B, 735 GG[3]"
Nome abitanti,trabiesi
Patrono,Santissimo Crocifisso
Giorno festivo,ultima domenica di settembre
Cartografia,Cartografia
Trabia,Trabia
Trabia – MappaPosizione del comune di Trabia all'interno della città metropolitana di Palermo,Trabia – MappaPosizione del comune di Trabia all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
