Petralia Sottana comune,Petralia Sottana comune.1
,
Petralia Sottana – Veduta,Petralia Sottana – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Pietro Polito (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,37°48′N 14°05′E
Altitudine,1 039 m s.l.m.
Superficie,"178,35 km²"
Abitanti,2 351[1] (30-11-2025)
Densità,"13,18 ab./km²"
Frazioni,"Landro, Piano Battaglia, Recattivo, Tudia"
Comuni confinanti,"Alimena, Blufi, Caltanissetta (CL), Castelbuono, Castellana Sicula, Geraci Siculo, Isnello, Marianopoli (CL), Petralia Soprana, Polizzi Generosa, Resuttano (CL), Santa Caterina Villarmosa (CL), Villalba (CL)"
Altre informazioni,Altre informazioni
Cod. postale,90027
Prefisso,0921
Fuso orario,UTC+1
Codice ISTAT,082056
Cod. catastale,G511
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 162 GG[3]"
Nome abitanti,petraliesi
Patrono,San Calogero Maria Santissima dell'Alto
Giorno festivo,18 giugno 15 agosto
Cartografia,Cartografia
Petralia Sottana,Petralia Sottana
Petralia Sottana – MappaPosizione del comune di Petralia Sottana all'interno della città metropolitana di Palermo,Petralia Sottana – MappaPosizione del comune di Petralia Sottana all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
