Pollina comune,Pollina comune.1
,
Pollina – Veduta,Pollina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Pietro Musotto (lista civica) dal 5-10-2020
Territorio,Territorio
Coordinate,38°00′N 14°09′E
Altitudine,730 m s.l.m.
Superficie,"49,93 km²"
Abitanti,2 811[1] (30-11-2025)
Densità,"56,3 ab./km²"
Frazioni,Finale
Comuni confinanti,"Castelbuono, Cefalù, San Mauro Castelverde"
Altre informazioni,Altre informazioni
Cod. postale,90010
Prefisso,0921
Fuso orario,UTC+1
Codice ISTAT,082059
Cod. catastale,G797
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 800 GG[3]"
Nome abitanti,pollinesi
Patrono,san Giuliano
Giorno festivo,seconda domenica di luglio
Cartografia,Cartografia
Pollina,Pollina
Pollina – MappaPosizione del comune di Pollina all'interno della città metropolitana di Palermo,Pollina – MappaPosizione del comune di Pollina all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
