Monreale comune,Monreale comune.1
,
Monreale – Veduta,Monreale – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Alberto Arcidiacono (FI) dal 28-4-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,38°04′54″N 13°17′20″E
Altitudine,310 m s.l.m.
Superficie,"530,18 km²"
Abitanti,38 811[1] (30-11-2025)
Densità,"73,2 ab./km²"
Frazioni,vedi elenco
Comuni confinanti,"Alcamo (TP), Altofonte, Bisacquino, Borgetto, Calatafimi Segesta (TP), Camporeale, Carini, Contessa Entellina, Corleone, Giardinello, Gibellina (TP), Godrano, Marineo, Montelepre, Palermo, Partinico, Piana degli Albanesi, Poggioreale (TP), Roccamena, San Cipirello, San Giuseppe Jato, Santa Cristina Gela, Torretta"
Altre informazioni,Altre informazioni
Cod. postale,90046; 90040 (Grisì)
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082049
Cod. catastale,F377
Targa,PA
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona C, 1 033 GG[3]"
Nome abitanti,monrealesi
Patrono,san Castrense
Giorno festivo,11 febbraio
Cartografia,Cartografia
Monreale,Monreale
Monreale – MappaPosizione del comune di Monreale all'interno della città metropolitana di Palermo,Monreale – MappaPosizione del comune di Monreale all'interno della città metropolitana di Palermo
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
