Villabate comune,Villabate comune.1
,
Villabate – VedutaPanorama di Villabate,Villabate – VedutaPanorama di Villabate
Localizzazione,Localizzazione
Stato,Italia
Regione,Sicilia
Città metropolitana,Palermo
Amministrazione,Amministrazione
Sindaco,Gaetano Di Chiara (lista civica di centro-destra) dal 6-10-2020
Territorio,Territorio
Coordinate,38°05′N 13°27′E
Altitudine,47 m s.l.m.
Superficie,"3,8 km²"
Abitanti,19 359[1] (30-11-2025)
Densità,"5 094,47 ab./km²"
Frazioni,"Favara[2], Ficarazzelli[3], Pomara[2]"
Comuni confinanti,"Ficarazzi, Misilmeri, Palermo"
Altre informazioni,Altre informazioni
Cod. postale,90039
Prefisso,091
Fuso orario,UTC+1
Codice ISTAT,082079
Cod. catastale,L916
Targa,PA
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona B, 766 GG[5]"
Nome abitanti,villabatesi
Patrono,san Giuseppe
Giorno festivo,19 marzo
Cartografia,Cartografia
Villabate,Villabate
Villabate – MappaPosizione del comune di Villabate all'interno della città metropolitana di Palermo.,Villabate – MappaPosizione del comune di Villabate all'interno della città metropolitana di Palermo.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
